Asset,Strategy,Total Return (%),CAGR (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Recovery Factor,VaR 95% (%),Max Drawdown (%),Avg Drawdown (%),Profit Factor,Payoff Ratio,Expectancy ($),Win Rate (%),Total Trades,Best Trade ($),Worst Trade ($),Win Streak,Loss Streak,Gross Profit ($),Gross Loss ($),Avg Trade Duration (hrs),Best Day (%),Worst Day (%),Total Fees Paid ($),Buy & Hold Return (%)
BTC,MACD,1528.15,39.5,46.45,0.946,1.083,0.7275,28.14,-3.19,-54.3,-25.18,1.46,2.36,1498.65,38.18,110,40084.23,-19263.69,5,7,525120.98,360269.13,341.9,22.5,-13.47,21261.67,1945.43
BTC,RSI,154.19,11.77,42.81,0.4725,0.4325,0.179,2.34,-3.1,-65.78,-29.44,1.93,0.64,1416.91,75.0,12,10536.46,-9821.67,4,1,35201.8,18198.82,2216.0,16.76,-15.38,483.55,1945.43
BTC,Bollinger Bands,-31.29,-4.38,47.05,0.1472,0.1206,-0.0512,0.37,-3.4,-85.46,-67.34,0.91,0.74,-63.11,55.17,29,6986.15,-5131.55,4,3,17683.7,19513.81,981.5,16.76,-39.5,407.71,1945.43
BTC,FFT,549.7,25.02,46.54,0.7115,0.7282,0.3141,6.9,-3.41,-79.65,-27.21,1.57,1.08,1061.58,59.26,54,18183.35,-13732.65,6,3,157601.59,100276.09,680.9,22.5,-19.5,5051.84,1945.43
BTC,MESA,18.55,2.05,54.55,0.3171,0.3404,0.0239,0.22,-4.31,-85.98,-58.55,1.05,0.93,17.76,52.81,231,5210.54,-5375.32,10,6,92325.07,88223.15,202.2,19.54,-39.6,4468.24,1945.43
BTC,Hilbert,-44.75,-6.84,53.51,0.1415,0.1421,-0.0934,0.61,-4.07,-73.2,-51.59,0.87,0.92,-83.22,48.57,35,6515.78,-4228.89,3,4,19076.87,21989.54,1163.7,19.54,-39.5,502.58,1945.43
ETH,MACD,602.51,26.19,60.51,0.686,0.7456,0.3748,8.62,-4.22,-69.88,-26.76,1.17,2.06,577.66,36.21,116,48121.44,-25120.84,4,8,459232.73,392224.08,329.2,26.3,-21.44,14510.91,883.99
ETH,RSI,82.34,7.43,50.8,0.392,0.3444,0.0954,1.06,-3.45,-77.89,-24.6,1.76,0.59,864.82,75.0,12,8491.55,-11237.95,4,1,24084.1,13706.26,1934.0,24.34,-19.9,387.49,883.99
ETH,Bollinger Bands,-42.38,-6.37,60.14,0.1894,0.1984,-0.0702,0.47,-4.95,-90.65,-63.64,0.86,0.59,-150.2,59.26,27,5666.67,-9727.59,5,3,25227.15,29282.63,1352.0,26.33,-19.9,360.16,883.99
ETH,FFT,397.15,21.09,62.86,0.6268,0.6061,0.246,4.63,-4.37,-85.74,-43.02,1.51,1.79,687.94,45.76,59,16569.68,-13093.13,5,5,120044.9,79456.57,615.5,26.33,-44.6,3148.83,883.99
ETH,MESA,30.21,3.2,70.29,0.4044,0.4506,0.0341,0.32,-5.54,-93.74,-53.45,1.05,1.05,26.13,49.79,235,7386.64,-6246.2,6,8,140962.97,134823.11,200.7,26.33,-44.6,6416.54,883.99
ETH,Hilbert,-71.09,-13.76,64.81,0.0974,0.1003,-0.1521,0.79,-5.44,-90.48,-68.84,0.71,0.71,-171.09,50.0,32,3670.34,-5472.15,4,3,13328.03,18802.82,1124.2,26.33,-27.74,267.65,883.99
SOL,MACD,1646.62,69.93,86.22,1.0378,1.2701,0.852,20.06,-6.22,-82.08,-38.05,1.26,2.1,2387.56,37.5,72,111754.03,-115450.27,5,7,830535.89,658631.41,341.7,36.3,-37.59,21012.72,3678.99
SOL,RSI,-60.38,-15.77,66.67,0.0816,0.0676,-0.1799,0.69,-4.49,-87.67,-65.83,0.56,0.37,-1003.93,60.0,5,4793.24,-9636.08,2,2,6334.26,11353.9,2836.8,35.65,-42.25,90.92,3678.99
SOL,Bollinger Bands,-62.69,-16.7,81.07,0.1837,0.1928,-0.1913,0.72,-6.31,-87.31,-57.8,0.54,0.29,-243.39,64.71,17,1014.39,-4073.98,7,2,4829.53,8967.21,1276.2,35.65,-42.25,169.64,3678.99
SOL,FFT,484.58,38.72,82.7,0.8029,0.9713,0.4716,5.9,-6.17,-82.12,-45.22,1.52,1.52,1399.37,50.0,36,33383.59,-17144.51,3,3,148119.29,97741.87,680.7,32.53,-37.5,2569.54,3678.99
SOL,MESA,397.72,34.65,90.83,0.7767,1.0174,0.4144,4.76,-6.57,-83.61,-46.03,1.1,1.19,354.82,47.86,140,51892.03,-55312.6,12,5,571874.34,522199.7,210.5,36.3,-42.25,19754.92,3678.99
SOL,Hilbert,6836.39,119.43,90.43,1.3135,1.6355,1.7164,98.25,-6.38,-69.58,-27.81,1.62,0.75,37221.43,68.42,19,546065.83,-446509.35,3,1,1847059.15,1139851.99,1383.2,36.3,-37.5,24062.57,3678.99
